name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,7536512,22845996237130,22846003773642
mov eax ebx                ,12238,22846005124913,22846005137151
nop                        ,12228,22846006392983,22846006405211
rdmsr 0x611                ,26190115,22846007721998,22846033912113
rdmsr 0x639                ,30926009,22846033942219,22846064868228
rdmsr 0x641                ,31084497,22846064914513,22846095999010
rdmsr 0x619                ,30949333,22846096028380,22846126977713
rdmsr 0x19C                ,25370326,22846127004513,22846152374839
rdmsr 0x17                 ,25227673,22846152393045,22846177620718
sys_call_overhead_proc_read,71576329
sys_call_overhead_sys_read ,166727610
