name                       ,overhead(ns * 100000_Calls),ts0(ns),ts1(ns)
cpuid 0x1 0                ,13092016,28021343563435,28021356655451
mov eax ebx                ,31352,28021359880532,28021359911884
nop                        ,31345,28021362966752,28021362998097
rdmsr 0x611                ,54409897,28021366170489,28021420580386
rdmsr 0x639                ,50049458,28021420640255,28021470689713
rdmsr 0x641                ,29304277,28021470728237,28021500032514
rdmsr 0x619                ,23374193,28021500055445,28021523429638
rdmsr 0x19C                ,23156665,28021523449082,28021546605747
rdmsr 0x17                 ,23611826,28021546626272,28021570238098
sys_call_overhead_proc_read,67010776
sys_call_overhead_sys_read ,145934323
