Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IPC	IRQ	SMI	POLL	C1	C1E	C3	C6	C7s	C8	C9	C10	POLL%	C1%	C1E%	C3%	C6%	C7s%	C8%	C9%	C10%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	CoreThr	PkgTmp	Totl%C0	Any%C0	GFX%C0	CPUGFX%	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	Pkg%pc8	Pkg%pc9	Pk%pc10	CPU%LPI	SYS%LPI	PkgWatt	CorWatt	GFXWatt	RAMWatt	PKG_%	RAM_%
430	29.37	1600	2833	0.85	93	0	0	2	3	5	36	0	1	0	0	0.00	2.38	1.67	5.82	53.36	0.00	1.64	0.00	0.00	35.92	1.49	33.22	0.00	56	0	56	175.69	97.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.92	3.87	0.00	1.02	0.00	0.00
322	24.05	1600	2592	0.91	49	0	0	0	7	2	62	0	6	0	0	0.00	0.00	1.00	0.66	57.72	0.00	4.46	0.00	0.00	22.31	0.00	53.64	0.00	56	0	56	145.74	71.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.95	2.73	0.00	0.77	0.00	0.00
345	16.19	1600	4119	0.85	87	0	0	1	1	4	56	0	18	0	3	0.00	0.03	0.07	1.84	79.91	0.00	24.02	0.00	6.07	18.37	1.99	58.91	4.54	56	0	56	175.12	128.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.18	5.59	0.00	1.91	0.00	0.00
450	28.15	1600	3095	0.69	63	0	0	1	10	6	47	0	7	0	0	0.00	0.02	1.40	0.95	56.15	0.00	13.80	0.00	0.00	32.98	0.72	38.15	0.00	56	0	56	189.70	99.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.97	4.36	0.00	1.09	0.00	0.00
350	22.33	1600	3034	0.66	42	0	0	1	13	8	58	0	5	0	0	0.00	0.01	2.41	2.72	62.70	0.00	8.68	0.00	0.00	21.45	4.14	52.08	0.00	56	0	56	164.77	85.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.55	3.71	0.00	0.95	0.00	0.00
467	28.92	1600	3124	0.62	58	0	0	1	15	12	63	0	4	0	0	0.00	0.00	3.98	3.86	56.14	0.00	8.28	0.00	0.00	33.23	3.01	34.84	0.00	56	0	56	207.09	115.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.66	4.83	0.00	1.36	0.00	0.00
433	26.82	1600	3122	0.62	50	0	1	1	27	14	60	0	2	0	0	0.09	0.02	10.45	7.47	52.29	0.00	4.13	0.00	0.00	41.63	5.87	25.68	0.00	56	0	56	192.59	98.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.85	4.58	0.00	0.94	0.00	0.00
398	25.42	1600	3027	0.64	49	0	0	1	10	16	61	0	0	0	0	0.00	0.02	2.79	6.91	63.73	0.00	0.00	0.00	0.00	28.51	7.02	39.04	0.00	56	0	56	195.82	98.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.81	4.33	0.00	1.07	0.00	0.00
333	30.67	1600	2099	0.51	91	0	0	0	15	31	111	0	3	0	2	0.00	0.00	1.03	1.30	43.01	0.00	0.65	0.00	1.28	16.29	0.04	52.89	0.11	56	0	56	73.83	36.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.95	1.13	0.00	0.30	0.00	0.00
224	25.42	1600	1703	0.16	205	0	0	0	0	4	88	0	63	0	5	0.00	0.00	0.00	0.28	15.56	0.00	11.41	0.00	13.87	11.99	0.50	25.23	36.86	56	0	56	100.31	66.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.30	1.17	0.00	0.40	0.00	0.00
293	15.23	2083	2855	0.05	280	0	0	0	5	2	66	0	130	1	30	0.00	0.00	0.05	0.06	9.50	0.00	19.14	1.21	48.33	20.67	0.07	9.53	54.50	56	0	56	93.61	81.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.04	1.60	0.00	0.78	0.00	0.00
488	11.99	3619	3481	0.04	227	0	0	0	2	3	45	0	107	0	55	0.00	0.00	0.02	0.02	6.40	0.00	17.46	0.00	75.01	14.73	0.00	7.63	65.66	61	0	58	106.19	98.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.55	4.29	0.00	1.10	0.00	0.00
690	2.49	3162	27113	0.73	243	0	0	0	2	0	37	0	79	0	31	0.00	0.00	0.51	0.00	92.98	0.00	217.58	0.00	543.40	12.06	0.00	17.87	67.58	57	0	59	206.81	195.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	232.34	174.65	0.00	17.65	0.00	0.00
579	19.05	2800	3362	0.77	39	0	0	0	1	0	21	0	13	0	0	0.00	0.00	0.16	0.00	51.48	0.00	36.45	0.00	0.00	20.95	0.00	49.68	10.32	58	0	58	158.22	105.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.27	9.70	0.00	1.10	0.00	0.00
573	21.08	2751	3061	0.76	26	0	0	1	0	1	21	0	9	0	0	0.00	0.05	0.00	0.87	56.67	0.00	20.57	0.00	0.00	20.82	1.56	56.54	0.00	59	0	59	156.15	98.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.93	9.52	0.00	1.06	0.00	0.00
556	22.40	2505	3066	0.77	34	0	0	1	1	1	25	0	6	0	0	0.00	0.08	0.18	0.48	61.49	0.00	14.77	0.00	0.00	20.13	0.00	54.24	3.23	59	0	59	159.66	99.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.39	6.82	0.00	1.03	0.00	0.00
521	21.36	2497	3022	0.77	34	0	0	0	0	2	26	0	4	0	0	0.00	0.00	0.00	0.94	64.39	0.00	11.60	0.00	0.00	20.87	0.00	57.76	0.00	59	0	59	159.87	99.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.03	7.10	0.00	1.00	0.00	0.00
372	25.79	2223	2011	0.76	42	0	0	0	2	0	34	0	16	0	0	0.00	0.00	0.22	0.00	33.86	0.00	14.25	0.00	0.00	18.91	0.00	48.21	7.10	58	0	59	92.41	56.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.47	2.45	0.00	0.36	0.00	0.00
507	12.53	2200	5697	0.75	88	0	0	1	1	3	44	0	24	0	0	0.00	0.04	0.04	0.35	101.98	0.00	58.98	0.00	0.00	18.27	0.00	52.84	16.35	58	0	58	176.67	136.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.84	12.99	0.00	2.44	0.00	0.00
501	22.08	2200	3190	0.76	34	0	0	0	2	1	20	0	14	0	0	0.00	0.00	0.42	0.54	46.73	0.00	32.82	0.00	0.00	21.33	0.00	45.67	10.93	58	0	58	165.26	101.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.88	6.45	0.00	1.18	0.00	0.00
503	22.92	2200	3090	0.77	42	0	0	0	0	2	29	0	4	0	0	0.00	0.00	0.00	1.35	69.79	0.00	6.03	0.00	0.00	20.69	2.33	54.05	0.00	58	0	58	164.40	99.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.41	5.96	0.00	0.94	0.00	0.00
486	22.04	2200	3101	0.77	34	0	0	0	1	4	29	0	4	0	0	0.00	0.00	0.21	2.02	68.17	0.00	7.90	0.00	0.00	21.88	1.48	54.60	0.00	58	0	58	165.48	100.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.61	6.07	0.00	0.95	0.00	0.00
486	22.07	2200	3099	0.78	34	0	0	1	0	1	31	0	3	0	0	0.00	0.02	0.00	0.78	74.33	0.00	3.08	0.00	0.00	21.49	0.00	56.44	0.00	58	0	58	164.09	99.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.83	6.32	0.00	1.15	0.00	0.00
